p,n_pass,eps_full,eps_full_err,eps_true_ang,eps_true_p,eps_true_p_err,eps_gauss,eps_gauss_err,noise,p_res,truncation,eps_M,eps_M_err,analytic_floor
1.0,493307,0.0434868359358966,0.0007712937774777127,0.043192698388353844,0.043326675189130456,0.0007750255073704644,-0.007453468130795031,0.0006930754250380353,0.00029413754754275406,-0.00013397680077661261,-0.007453468130795031,0.05078014331992549,0.0010397201940264983,0.000711887496768007
2.0,498404,0.11440221033346923,0.0010176276278215637,0.11394700780391796,0.1144677872396592,0.0010745079106620266,0.0016671957705250806,0.0007854268653815807,0.0004552025295512657,-0.0005207794357412338,0.0016671957705250806,0.11280059146913411,0.0013309630389076962,0.0007082380325466146
3.5,499603,0.15006771590185256,0.001572556715806372,0.1481529984913277,0.14977041263684562,0.0013999014129842428,-0.000709189401734044,0.0007681039927372979,0.0019147174105248466,-0.0016174141455179147,-0.000709189401734044,0.15047960203857966,0.0015967804200121751,0.0007073876698589551
6.0,499900,0.18573228585382226,0.0024347281441217867,0.17876169724070834,0.18339083543870238,0.002430877653693106,-0.00010914178865714347,0.0007801157100289863,0.0069705886131139205,-0.004629138197994043,-0.00010914178865714347,0.18349997722735953,0.0025529877963395217,0.000707177502473036
